geo,TIME_PERIOD,OBS_VALUE
Andorra,2003,67159
Andorra,2004,72320
Andorra,2005,76875
Andorra,2006,78549
Andorra,2007,81222
Andorra,2008,83137
Andorra,2009,84484
Andorra,2010,84082
Andorra,2011,78115
Andorra,2012,78115
Andorra,2013,76246
Andorra,2016,71732
Andorra,2018,74794
Andorra,2019,76177
Andorra,2020,77543
Andorra,2022,79535
Andorra,2023,81588
Andorra,2024,85101
Albania,2003,3044993
Albania,2004,3034231
Albania,2005,3019634
Albania,2006,3003329
Albania,2007,2981755
Albania,2008,2958266
Albania,2009,2936355
Albania,2010,2918674
Albania,2011,2907361
Albania,2012,2903008
Albania,2013,2897770
Albania,2014,2892394
Albania,2015,2885796
Albania,2016,2875592
Albania,2017,2876591
Albania,2018,2870324
Albania,2019,2862427
Albania,2020,2845955
Albania,2021,2829741
Albania,2022,2793592
Albania,2023,2761785
Armenia,2003,3210300
Armenia,2004,3212200
Armenia,2005,3215800
Armenia,2006,3219234
Armenia,2007,3222953
Armenia,2008,3230086
Armenia,2009,3237976
Armenia,2010,3249482
Armenia,2011,3262650
Armenia,2012,3274285
Armenia,2013,3026878
Armenia,2014,3017079
Armenia,2015,3010598
Armenia,2016,2998577
Armenia,2017,2986151
Armenia,2018,2972732
Armenia,2019,2965269
Armenia,2020,2959694
Armenia,2021,2963251
Armenia,2023,2977130
Armenia,2024,2991201
Austria,2003,8100273
Austria,2004,8142573
Austria,2005,8201359
Austria,2006,8254298
Austria,2007,8282984
Austria,2008,8307989
Austria,2009,8335003
Austria,2010,8351643
Austria,2011,8375164
Austria,2012,8408121
Austria,2013,8451860
Austria,2014,8507786
Austria,2015,8584926
Austria,2016,8700471
Austria,2017,8772865
Austria,2018,8822267
Austria,2019,8858775
Austria,2020,8901064
Austria,2021,8932664
Austria,2022,8978929
Austria,2023,9104772
Austria,2024,9158750
Azerbaijan,2003,8202500
Azerbaijan,2004,8265700
Azerbaijan,2005,8347300
Azerbaijan,2006,8436400
Azerbaijan,2007,8532700
Azerbaijan,2008,8629900
Azerbaijan,2009,8896900
Azerbaijan,2010,8997586
Azerbaijan,2011,9111078
Azerbaijan,2012,9235085
Azerbaijan,2013,9356483
Azerbaijan,2014,9477119
Azerbaijan,2015,9593038
Azerbaijan,2016,9705643
Azerbaijan,2017,9809981
Azerbaijan,2018,9898085
Azerbaijan,2019,9981457
Azerbaijan,2020,10067108
Azerbaijan,2021,10119133
Azerbaijan,2022,10156366
Azerbaijan,2023,10127145
Azerbaijan,2024,10180770
Bosnia and Herzegovina,2003,3830349
Bosnia and Herzegovina,2004,3837414
Bosnia and Herzegovina,2005,3842532
Bosnia and Herzegovina,2006,3842650
Bosnia and Herzegovina,2007,3844017
Bosnia and Herzegovina,2008,3843846
Bosnia and Herzegovina,2009,3843998
Bosnia and Herzegovina,2010,3844046
Bosnia and Herzegovina,2011,3843183
Bosnia and Herzegovina,2012,3839265
Bosnia and Herzegovina,2013,3835645
Bosnia and Herzegovina,2014,3830911
Bosnia and Herzegovina,2015,3825334
Bosnia and Herzegovina,2016,3515982
Bosnia and Herzegovina,2017,3509728
Bosnia and Herzegovina,2018,3500295
Bosnia and Herzegovina,2019,3492018
Bosnia and Herzegovina,2022,3464384
Bosnia and Herzegovina,2023,3441194
Bosnia and Herzegovina,2024,3417089
Belgium,2003,10355844
Belgium,2004,10396421
Belgium,2005,10445852
Belgium,2006,10511382
Belgium,2007,10584534
Belgium,2008,10666866
Belgium,2009,10753080
Belgium,2010,10839905
Belgium,2011,11000638
Belgium,2012,11075889
Belgium,2013,11137974
Belgium,2014,11180840
Belgium,2015,11237274
Belgium,2016,11311117
Belgium,2017,11351727
Belgium,2018,11398589
Belgium,2019,11455519
Belgium,2020,11522440
Belgium,2021,11554767
Belgium,2022,11617623
Belgium,2023,11742796
Belgium,2024,11817096
Bulgaria,2003,7805506
Bulgaria,2004,7745147
Bulgaria,2005,7688573
Bulgaria,2006,7629371
Bulgaria,2007,7572673
Bulgaria,2008,7518002
Bulgaria,2009,7467119
Bulgaria,2010,7421766
Bulgaria,2011,7369431
Bulgaria,2012,7327224
Bulgaria,2013,7202556
Bulgaria,2014,7117453
Bulgaria,2015,7029690
Bulgaria,2016,6938759
Bulgaria,2017,6849518
Bulgaria,2018,6757418
Bulgaria,2019,6664177
Bulgaria,2020,6569275
Bulgaria,2021,6532117
Bulgaria,2022,6482484
Bulgaria,2023,6447710
Bulgaria,2024,6445481
Belarus,2003,9898590
Belarus,2004,9849062
Belarus,2005,9800073
Belarus,2006,9750540
Belarus,2007,9714461
Belarus,2008,9689770
Belarus,2009,9671912
Belarus,2010,9480178
Belarus,2011,9481193
Belarus,2012,9465150
Belarus,2013,9463840
Belarus,2014,9468154
Belarus,2015,9480868
Belarus,2016,9498364
Belarus,2017,9504704
Belarus,2018,9491823
Belarus,2019,9475174
Belarus,2020,9408350
Switzerland,2003,7313853
Switzerland,2004,7364148
Switzerland,2005,7415102
Switzerland,2006,7459128
Switzerland,2007,7508739
Switzerland,2008,7593494
Switzerland,2009,7701856
Switzerland,2010,7785806
Switzerland,2011,7870134
Switzerland,2012,7954662
Switzerland,2013,8039060
Switzerland,2014,8139631
Switzerland,2015,8237666
Switzerland,2016,8327126
Switzerland,2017,8419550
Switzerland,2018,8484130
Switzerland,2019,8544527
Switzerland,2020,8606033
Switzerland,2021,8670300
Switzerland,2022,8738791
Switzerland,2023,8815385
Switzerland,2024,8962258
Cyprus,2003,713720
Cyprus,2004,722893
Cyprus,2005,733067
Cyprus,2006,744013
Cyprus,2007,757916
Cyprus,2008,776333
Cyprus,2009,796930
Cyprus,2010,819140
Cyprus,2011,839751
Cyprus,2012,862011
Cyprus,2013,865878
Cyprus,2014,858000
Cyprus,2015,847008
Cyprus,2016,848319
Cyprus,2017,854802
Cyprus,2018,864236
Cyprus,2019,875899
Cyprus,2020,888005
Cyprus,2021,896007
Cyprus,2022,904705
Cyprus,2023,949084
Cyprus,2024,966365
Czechia,2003,10192649
Czechia,2004,10195347
Czechia,2005,10198855
Czechia,2006,10223577
Czechia,2007,10254233
Czechia,2008,10343422
Czechia,2009,10425783
Czechia,2010,10462088
Czechia,2011,10486731
Czechia,2012,10505445
Czechia,2013,10516125
Czechia,2014,10512419
Czechia,2015,10538275
Czechia,2016,10553843
Czechia,2017,10578820
Czechia,2018,10610055
Czechia,2019,10649800
Czechia,2020,10693939
Czechia,2021,10494836
Czechia,2022,10516707
Czechia,2023,10827529
Czechia,2024,10900555
Germany,2003,82536680
Germany,2004,82531671
Germany,2005,82500849
Germany,2006,82437995
Germany,2007,82314906
Germany,2008,82217837
Germany,2009,82002356
Germany,2010,81802257
Germany,2011,80222065
Germany,2012,80327900
Germany,2013,80523746
Germany,2014,80767463
Germany,2015,81197537
Germany,2016,82175684
Germany,2017,82521653
Germany,2018,82792351
Germany,2019,83019213
Germany,2020,83166711
Germany,2021,83155031
Germany,2022,83237124
Germany,2023,83118501
Germany,2024,83456045
Denmark,2003,5383507
Denmark,2004,5397640
Denmark,2005,5411405
Denmark,2006,5427459
Denmark,2007,5447084
Denmark,2008,5475791
Denmark,2009,5511451
Denmark,2010,5534738
Denmark,2011,5560628
Denmark,2012,5580516
Denmark,2013,5602628
Denmark,2014,5627235
Denmark,2015,5659715
Denmark,2016,5707251
Denmark,2017,5748769
Denmark,2018,5781190
Denmark,2019,5806081
Denmark,2020,5822763
Denmark,2021,5840045
Denmark,2022,5873420
Denmark,2023,5932654
Denmark,2024,5961249
Estonia,2003,1375190
Estonia,2004,1366250
Estonia,2005,1358850
Estonia,2006,1350700
Estonia,2007,1342920
Estonia,2008,1338440
Estonia,2009,1335740
Estonia,2010,1333290
Estonia,2011,1329660
Estonia,2012,1325217
Estonia,2013,1320174
Estonia,2014,1315819
Estonia,2015,1314870
Estonia,2016,1315944
Estonia,2017,1315635
Estonia,2018,1319133
Estonia,2019,1324820
Estonia,2020,1328976
Estonia,2021,1330068
Estonia,2022,1331796
Estonia,2023,1365884
Estonia,2024,1374687
Greece,2003,10915770
Greece,2004,10940369
Greece,2005,10969912
Greece,2006,11004716
Greece,2007,11036008
Greece,2008,11060937
Greece,2009,11094745
Greece,2010,11119289
Greece,2011,11123392
Greece,2012,11086406
Greece,2013,11003615
Greece,2014,10926807
Greece,2015,10858018
Greece,2016,10783748
Greece,2017,10768193
Greece,2018,10741165
Greece,2019,10724599
Greece,2020,10718565
Greece,2021,10678632
Greece,2022,10459782
Greece,2023,10413982
Greece,2024,10400720
Spain,2003,41827838
Spain,2004,42547451
Spain,2005,43296338
Spain,2006,44009971
Spain,2007,44784666
Spain,2008,45668939
Spain,2009,46239273
Spain,2010,46486619
Spain,2011,46667174
Spain,2012,46818219
Spain,2013,46712650
Spain,2014,46495744
Spain,2015,46425722
Spain,2016,46418884
Spain,2017,46497393
Spain,2018,46645070
Spain,2019,46918951
Spain,2020,47318050
Spain,2021,47400798
Spain,2022,47486843
Spain,2023,48085361
Spain,2024,48619695
Finland,2003,5206295
Finland,2004,5219732
Finland,2005,5236611
Finland,2006,5255580
Finland,2007,5276955
Finland,2008,5300484
Finland,2009,5326314
Finland,2010,5351427
Finland,2011,5375276
Finland,2012,5401267
Finland,2013,5426674
Finland,2014,5451270
Finland,2015,5471753
Finland,2016,5487308
Finland,2017,5503297
Finland,2018,5513130
Finland,2019,5517919
Finland,2020,5525292
Finland,2021,5533793
Finland,2022,5548241
Finland,2023,5563970
Finland,2024,5603851
France,2003,61864088
France,2004,62292241
France,2005,62772870
France,2006,63229635
France,2007,63645065
France,2008,64007193
France,2009,64350226
France,2010,64658856
France,2011,64978721
France,2012,65276983
France,2013,65600350
France,2014,66165980
France,2015,66458153
France,2016,66638391
France,2017,66809816
France,2018,67026224
France,2019,67290471
France,2020,67473651
France,2021,67728568
France,2022,68091703
France,2023,68277210
France,2024,68467362
Georgia,2003,4352600
Georgia,2004,4315200
Georgia,2005,4321500
Georgia,2006,4401292
Georgia,2007,4394702
Georgia,2008,4382070
Georgia,2009,4385429
Georgia,2010,4436391
Georgia,2011,4469250
Georgia,2012,4497617
Georgia,2014,4490498
Georgia,2015,3729500
Georgia,2016,3720400
Georgia,2017,3718200
Georgia,2018,3729633
Georgia,2019,3723464
Georgia,2020,3716858
Georgia,2021,3728573
Georgia,2022,3688647
Georgia,2023,3736357
Georgia,2024,3694608
Croatia,2003,4305384
Croatia,2004,4305725
Croatia,2005,4310861
Croatia,2006,4312487
Croatia,2007,4313530
Croatia,2008,4311967
Croatia,2009,4309796
Croatia,2010,4302847
Croatia,2011,4289857
Croatia,2012,4275984
Croatia,2013,4247803
Croatia,2014,4217632
Croatia,2015,4180915
Croatia,2016,4131115
Croatia,2017,4078769
Croatia,2018,4014341
Croatia,2019,3968676
Croatia,2020,3933511
Croatia,2021,3893026
Croatia,2022,3862305
Croatia,2023,3850894
Croatia,2024,3861967
Hungary,2003,10142362
Hungary,2004,10116742
Hungary,2005,10097549
Hungary,2006,10076581
Hungary,2007,10066158
Hungary,2008,10045401
Hungary,2009,10030975
Hungary,2010,10014324
Hungary,2011,9985722
Hungary,2012,9931925
Hungary,2013,9895250
Hungary,2014,9850217
Hungary,2015,9815858
Hungary,2016,9779652
Hungary,2017,9739857
Hungary,2018,9713655
Hungary,2019,9700272
Hungary,2020,9689376
Hungary,2021,9651461
Hungary,2022,9610403
Hungary,2023,9599744
Hungary,2024,9584627
Ireland,2003,3964191
Ireland,2004,4028851
Ireland,2005,4111672
Ireland,2006,4208156
Ireland,2007,4340118
Ireland,2008,4457765
Ireland,2009,4521322
Ireland,2010,4549428
Ireland,2011,4570881
Ireland,2012,4589287
Ireland,2013,4609779
Ireland,2014,4637852
Ireland,2015,4677627
Ireland,2016,4726286
Ireland,2017,4799157
Ireland,2018,4855733
Ireland,2019,4940311
Ireland,2020,5012600
Ireland,2021,5066893
Ireland,2022,5154277
Ireland,2023,5271395
Ireland,2024,5351681
Iceland,2003,288471
Iceland,2004,290570
Iceland,2005,293577
Iceland,2006,299891
Iceland,2007,307672
Iceland,2008,315459
Iceland,2009,319368
Iceland,2010,317630
Iceland,2011,318452
Iceland,2012,319575
Iceland,2013,321857
Iceland,2014,325671
Iceland,2015,329100
Iceland,2016,332529
Iceland,2017,338349
Iceland,2018,348450
Iceland,2019,356991
Iceland,2020,364134
Iceland,2021,368792
Iceland,2022,376248
Iceland,2023,387758
Iceland,2024,383567
Italy,2003,57186378
Italy,2004,57611990
Italy,2005,58044368
Italy,2006,58288996
Italy,2007,58510725
Italy,2008,59001769
Italy,2009,59420592
Italy,2010,59690316
Italy,2011,59948497
Italy,2012,60105185
Italy,2013,60277309
Italy,2014,60345917
Italy,2015,60295497
Italy,2016,60163712
Italy,2017,60066734
Italy,2018,59937769
Italy,2019,59816673
Italy,2020,59641488
Italy,2021,59236213
Italy,2022,59030133
Italy,2023,58997201
Italy,2024,58971230
Liechtenstein,2003,33863
Liechtenstein,2004,34294
Liechtenstein,2005,34600
Liechtenstein,2006,34905
Liechtenstein,2007,35168
Liechtenstein,2008,35356
Liechtenstein,2009,35589
Liechtenstein,2010,35894
Liechtenstein,2011,36149
Liechtenstein,2012,36475
Liechtenstein,2013,36838
Liechtenstein,2014,37129
Liechtenstein,2015,37366
Liechtenstein,2016,37622
Liechtenstein,2017,37810
Liechtenstein,2018,38114
Liechtenstein,2019,38378
Liechtenstein,2020,38747
Liechtenstein,2021,39055
Liechtenstein,2022,39308
Liechtenstein,2023,39677
Liechtenstein,2024,40015
Lithuania,2003,3431497
Lithuania,2004,3398929
Lithuania,2005,3355220
Lithuania,2006,3289835
Lithuania,2007,3249983
Lithuania,2008,3212605
Lithuania,2009,3183856
Lithuania,2010,3141976
Lithuania,2011,3052588
Lithuania,2012,3003641
Lithuania,2013,2974637
Lithuania,2014,2947862
Lithuania,2015,2926644
Lithuania,2016,2895573
Lithuania,2017,2859077
Lithuania,2018,2826200
Lithuania,2019,2812200
Lithuania,2020,2809977
Lithuania,2021,2810761
Lithuania,2022,2805998
Lithuania,2023,2857279
Lithuania,2024,2885891
Luxembourg,2003,448300
Luxembourg,2004,454960
Luxembourg,2005,461230
Luxembourg,2006,469086
Luxembourg,2007,476187
Luxembourg,2008,483799
Luxembourg,2009,493500
Luxembourg,2010,502066
Luxembourg,2011,511840
Luxembourg,2012,524853
Luxembourg,2013,537039
Luxembourg,2014,549680
Luxembourg,2015,562958
Luxembourg,2016,576249
Luxembourg,2017,590667
Luxembourg,2018,602005
Luxembourg,2019,613894
Luxembourg,2020,626108
Luxembourg,2021,634730
Luxembourg,2022,645397
Luxembourg,2023,660809
Luxembourg,2024,672050
Latvia,2003,2299390
Latvia,2004,2276520
Latvia,2005,2249724
Latvia,2006,2227874
Latvia,2007,2208840
Latvia,2008,2191810
Latvia,2009,2162834
Latvia,2010,2120504
Latvia,2011,2074605
Latvia,2012,2044813
Latvia,2013,2023825
Latvia,2014,2001468
Latvia,2015,1986096
Latvia,2016,1968957
Latvia,2017,1950116
Latvia,2018,1934379
Latvia,2019,1919968
Latvia,2020,1907675
Latvia,2021,1893223
Latvia,2022,1875757
Latvia,2023,1883008
Latvia,2024,1871882
Monaco,2004,32828
Monaco,2005,33085
Monaco,2015,37700
Monaco,2016,38200
Monaco,2018,38300
Monaco,2019,38300
Monaco,2024,38367
Moldova,2003,3618312
Moldova,2004,3607435
Moldova,2005,3600436
Moldova,2006,3589936
Moldova,2007,3581110
Moldova,2008,3572703
Moldova,2009,3567512
Moldova,2010,3563695
Moldova,2011,3560430
Moldova,2012,3559541
Moldova,2013,3559497
Moldova,2014,3557634
Moldova,2015,3555159
Moldova,2016,2846327
Moldova,2017,2825628
Moldova,2018,2780744
Moldova,2019,2729634
Moldova,2020,2684772
Moldova,2021,2643675
Moldova,2022,2565030
Moldova,2023,2512758
Moldova,2024,2423287
Montenegro,2003,610510
Montenegro,2004,612214
Montenegro,2005,613420
Montenegro,2006,613109
Montenegro,2007,614624
Montenegro,2008,615543
Montenegro,2009,617157
Montenegro,2010,619001
Montenegro,2011,619850
Montenegro,2012,620308
Montenegro,2013,620893
Montenegro,2014,621521
Montenegro,2015,622099
Montenegro,2016,622218
Montenegro,2017,622387
Montenegro,2018,622359
Montenegro,2019,622182
Montenegro,2020,621873
Montenegro,2021,620739
Montenegro,2022,617683
Montenegro,2023,616695
Montenegro,2024,623680
North Macedonia,2003,2023654
North Macedonia,2004,2029892
North Macedonia,2005,2035196
North Macedonia,2006,2038514
North Macedonia,2007,2041941
North Macedonia,2008,2045177
North Macedonia,2009,2048619
North Macedonia,2010,2052722
North Macedonia,2011,2057284
North Macedonia,2012,2059794
North Macedonia,2013,2062294
North Macedonia,2014,2065769
North Macedonia,2015,2069172
North Macedonia,2016,2071278
North Macedonia,2017,2073702
North Macedonia,2018,2075301
North Macedonia,2019,2077132
North Macedonia,2020,2076255
North Macedonia,2021,2068808
North Macedonia,2022,1837114
North Macedonia,2023,1829954
North Macedonia,2024,1826247
Malta,2003,397296
Malta,2004,399867
Malta,2005,402668
Malta,2006,404999
Malta,2007,405616
Malta,2008,407832
Malta,2009,410926
Malta,2010,414027
Malta,2011,414989
Malta,2012,417546
Malta,2013,421464
Malta,2014,428156
Malta,2015,438805
Malta,2016,449635
Malta,2017,459375
Malta,2018,474837
Malta,2019,492968
Malta,2020,514855
Malta,2021,516125
Malta,2022,520174
Malta,2023,542051
Malta,2024,563443
Netherlands,2003,16192572
Netherlands,2004,16258032
Netherlands,2005,16305526
Netherlands,2006,16334210
Netherlands,2007,16357992
Netherlands,2008,16405399
Netherlands,2009,16485787
Netherlands,2010,16574989
Netherlands,2011,16655799
Netherlands,2012,16730348
Netherlands,2013,16779575
Netherlands,2014,16829289
Netherlands,2015,16900726
Netherlands,2016,16979120
Netherlands,2017,17081507
Netherlands,2018,17181084
Netherlands,2019,17282163
Netherlands,2020,17407585
Netherlands,2021,17475415
Netherlands,2022,17590672
Netherlands,2023,17811291
Netherlands,2024,17942942
Norway,2003,4552252
Norway,2004,4577457
Norway,2005,4606363
Norway,2006,4640219
Norway,2007,4681134
Norway,2008,4737171
Norway,2009,4799252
Norway,2010,4858199
Norway,2011,4920305
Norway,2012,4985870
Norway,2013,5051275
Norway,2014,5109056
Norway,2015,5165802
Norway,2016,5213985
Norway,2017,5258317
Norway,2018,5295619
Norway,2019,5328212
Norway,2020,5367580
Norway,2021,5391369
Norway,2022,5425270
Norway,2023,5488984
Norway,2024,5550217
Poland,2003,38218531
Poland,2004,38190608
Poland,2005,38173835
Poland,2006,38157055
Poland,2007,38125479
Poland,2008,38115641
Poland,2009,38135876
Poland,2010,38022869
Poland,2011,38062718
Poland,2012,38063792
Poland,2013,38062535
Poland,2014,38017856
Poland,2015,38005614
Poland,2016,37967209
Poland,2017,37972964
Poland,2018,37976687
Poland,2019,37972812
Poland,2020,37958138
Poland,2021,37073357
Poland,2022,36889761
Poland,2023,36753736
Poland,2024,36620970
Portugal,2003,10444592
Portugal,2004,10473050
Portugal,2005,10494672
Portugal,2006,10511988
Portugal,2007,10532588
Portugal,2008,10553339
Portugal,2009,10563014
Portugal,2010,10573479
Portugal,2011,10572721
Portugal,2012,10558950
Portugal,2013,10503889
Portugal,2014,10444092
Portugal,2015,10395121
Portugal,2016,10368554
Portugal,2017,10344478
Portugal,2018,10335770
Portugal,2019,10333496
Portugal,2020,10375395
Portugal,2021,10394297
Portugal,2022,10421117
Portugal,2023,10516621
Portugal,2024,10639726
Romania,2003,21627509
Romania,2004,21521142
Romania,2005,21382354
Romania,2006,21257016
Romania,2007,21130503
Romania,2008,20635460
Romania,2009,20440290
Romania,2010,20294683
Romania,2011,20199059
Romania,2012,20095996
Romania,2013,20020074
Romania,2014,19947311
Romania,2015,19870647
Romania,2016,19760585
Romania,2017,19643949
Romania,2018,19533481
Romania,2019,19414458
Romania,2020,19328838
Romania,2021,19201662
Romania,2022,19042455
Romania,2023,19054548
Romania,2024,19067576
Serbia,2003,7490918
Serbia,2004,7470263
Serbia,2005,7456050
Serbia,2006,7425487
Serbia,2007,7397651
Serbia,2008,7365507
Serbia,2009,7334937
Serbia,2010,7306677
Serbia,2011,7251549
Serbia,2012,7216649
Serbia,2013,7181505
Serbia,2014,7146759
Serbia,2015,7114393
Serbia,2016,7076372
Serbia,2017,7040272
Serbia,2018,7001444
Serbia,2019,6963764
Serbia,2020,6926705
Serbia,2021,6871547
Serbia,2022,6797105
Serbia,2023,6641197
Serbia,2024,6605168
Russia,2003,145166731
Russia,2004,144168205
Russia,2005,143474219
Russia,2006,142753551
Russia,2007,142220968
Russia,2008,142008838
Russia,2009,141903979
Russia,2010,141914509
Russia,2011,142856536
Russia,2012,143056383
Russia,2014,143666931
Sweden,2003,8940788
Sweden,2004,8975670
Sweden,2005,9011392
Sweden,2006,9047752
Sweden,2007,9113257
Sweden,2008,9182927
Sweden,2009,9256347
Sweden,2010,9340682
Sweden,2011,9415570
Sweden,2012,9482855
Sweden,2013,9555893
Sweden,2014,9644864
Sweden,2015,9747355
Sweden,2016,9851017
Sweden,2017,9995153
Sweden,2018,10120242
Sweden,2019,10230185
Sweden,2020,10327589
Sweden,2021,10379295
Sweden,2022,10452326
Sweden,2023,10521556
Sweden,2024,10551707
Slovenia,2003,1995033
Slovenia,2004,1996433
Slovenia,2005,1997590
Slovenia,2006,2003358
Slovenia,2007,2010377
Slovenia,2008,2010269
Slovenia,2009,2032362
Slovenia,2010,2046976
Slovenia,2011,2050189
Slovenia,2012,2055496
Slovenia,2013,2058821
Slovenia,2014,2061085
Slovenia,2015,2062874
Slovenia,2016,2064188
Slovenia,2017,2065895
Slovenia,2018,2066880
Slovenia,2019,2080908
Slovenia,2020,2095861
Slovenia,2021,2108977
Slovenia,2022,2107180
Slovenia,2023,2116972
Slovenia,2024,2123949
Slovakia,2003,5374873
Slovakia,2004,5371875
Slovakia,2005,5372685
Slovakia,2006,5372928
Slovakia,2007,5373180
Slovakia,2008,5376064
Slovakia,2009,5382401
Slovakia,2010,5390410
Slovakia,2011,5392446
Slovakia,2012,5404322
Slovakia,2013,5410836
Slovakia,2014,5415949
Slovakia,2015,5421349
Slovakia,2016,5426252
Slovakia,2017,5435343
Slovakia,2018,5443120
Slovakia,2019,5450421
Slovakia,2020,5457873
Slovakia,2021,5459781
Slovakia,2022,5434712
Slovakia,2023,5428792
Slovakia,2024,5424687
San Marino,2004,29241
San Marino,2005,29673
San Marino,2006,29999
San Marino,2007,30368
San Marino,2008,32054
San Marino,2009,31269
San Marino,2011,31863
San Marino,2012,33376
San Marino,2013,33562
San Marino,2014,32520
San Marino,2015,32789
San Marino,2016,33005
San Marino,2017,33196
San Marino,2018,34453
San Marino,2019,34590
San Marino,2020,34735
San Marino,2021,34805
San Marino,2022,33698
San Marino,2023,33812
Türkiye,2003,66401851
Türkiye,2004,67187251
Türkiye,2005,68010221
Türkiye,2006,68860539
Türkiye,2007,69729967
Türkiye,2008,70586256
Türkiye,2009,71517100
Türkiye,2010,72561312
Türkiye,2011,73722988
Türkiye,2012,74724269
Türkiye,2013,75627384
Türkiye,2014,76667864
Türkiye,2015,77695904
Türkiye,2016,78741053
Türkiye,2017,79814871
Türkiye,2018,80810525
Türkiye,2019,82003882
Türkiye,2020,83154997
Türkiye,2021,83614362
Türkiye,2022,84680273
Türkiye,2023,85279553
Türkiye,2024,85372377
Ukraine,2003,47823108
Ukraine,2004,47442079
Ukraine,2005,47100462
Ukraine,2006,46749170
Ukraine,2007,46465691
Ukraine,2008,46192309
Ukraine,2009,45963359
Ukraine,2010,45782592
Ukraine,2011,45598179
Ukraine,2012,45453282
Ukraine,2013,45372692
Ukraine,2014,45245894
Ukraine,2015,42759661
Ukraine,2016,42590879
Ukraine,2017,42414905
Ukraine,2018,42216766
Ukraine,2019,41983564
Ukraine,2020,41732779
Ukraine,2022,40997698
United Kingdom,2003,59501394
United Kingdom,2004,59793759
United Kingdom,2005,60182050
United Kingdom,2006,60620361
United Kingdom,2007,61073279
United Kingdom,2008,61571647
United Kingdom,2009,62042343
United Kingdom,2010,62510197
United Kingdom,2011,63022532
United Kingdom,2012,63495088
United Kingdom,2013,63905342
United Kingdom,2014,64351203
United Kingdom,2015,64853393
United Kingdom,2016,65379044
United Kingdom,2017,65844142
United Kingdom,2018,66273576
United Kingdom,2019,66647112
United Kingdom,2020,67025542
Kosovo*,2003,1985000
Kosovo*,2004,2016000
Kosovo*,2005,2041000
Kosovo*,2006,2100000
Kosovo*,2007,2126708
Kosovo*,2008,2153139
Kosovo*,2009,2180686
Kosovo*,2010,2208107
Kosovo*,2011,1794180
Kosovo*,2012,1780021
Kosovo*,2013,1815606
Kosovo*,2014,1820631
Kosovo*,2015,1804944
Kosovo*,2016,1771604
Kosovo*,2017,1783531
Kosovo*,2018,1798506
Kosovo*,2019,1795666
Kosovo*,2020,1782115
Kosovo*,2021,1798186
Kosovo*,2022,1773971
