citizen,geo,TIME_PERIOD,Crimes Num Per 100k inhabitants
Foreign country,Albania,2014,3.42
Foreign country,Albania,2015,3.08
Foreign country,Albania,2016,3.08
Foreign country,Albania,2017,3.51
Foreign country,Albania,2018,3.14
Foreign country,Albania,2019,3.95
Foreign country,Albania,2020,3.83
Foreign country,Albania,2021,4.03
Foreign country,Albania,2022,4.4
Foreign country,Austria,2013,51.74
Foreign country,Austria,2014,52.3
Foreign country,Austria,2015,54.83
Foreign country,Austria,2016,53.92
Foreign country,Austria,2017,55.07
Foreign country,Austria,2018,57.0
Foreign country,Austria,2019,54.12
Foreign country,Austria,2020,48.29
Foreign country,Austria,2021,46.53
Foreign country,Austria,2022,51.72
Foreign country,Belgium,2013,47.22
Foreign country,Belgium,2015,42.82
Foreign country,Belgium,2017,40.76
Foreign country,Belgium,2018,39.96
Foreign country,Belgium,2019,41.65
Foreign country,Belgium,2020,39.86
Foreign country,Belgium,2021,40.73
Foreign country,Belgium,2022,40.71
Foreign country,Bulgaria,2013,3.47
Foreign country,Bulgaria,2014,3.2
Foreign country,Bulgaria,2015,3.36
Foreign country,Bulgaria,2016,3.01
Foreign country,Bulgaria,2017,2.62
Foreign country,Bulgaria,2018,2.28
Foreign country,Bulgaria,2019,1.96
Foreign country,Bulgaria,2020,2.22
Foreign country,Bulgaria,2021,2.3
Foreign country,Bulgaria,2022,1.96
Foreign country,Switzerland,2013,60.42
Foreign country,Switzerland,2014,57.41
Foreign country,Switzerland,2015,54.8
Foreign country,Switzerland,2016,55.23
Foreign country,Switzerland,2017,54.81
Foreign country,Switzerland,2018,55.15
Foreign country,Switzerland,2019,52.41
Foreign country,Switzerland,2020,50.43
Foreign country,Switzerland,2021,48.79
Foreign country,Switzerland,2022,50.3
Foreign country,Cyprus,2013,35.34
Foreign country,Cyprus,2014,27.86
Foreign country,Cyprus,2015,25.27
Foreign country,Cyprus,2016,27.94
Foreign country,Cyprus,2017,17.66
Foreign country,Cyprus,2018,31.94
Foreign country,Cyprus,2019,42.47
Foreign country,Cyprus,2020,29.28
Foreign country,Cyprus,2021,46.54
Foreign country,Cyprus,2022,58.69
Foreign country,Czechia,2013,14.48
Foreign country,Czechia,2014,14.73
Foreign country,Czechia,2015,15.85
Foreign country,Czechia,2016,17.12
Foreign country,Czechia,2017,17.15
Foreign country,Czechia,2018,16.66
Foreign country,Czechia,2019,16.85
Foreign country,Czechia,2020,14.34
Foreign country,Czechia,2021,13.04
Foreign country,Czechia,2022,13.87
Foreign country,Denmark,2013,19.6
Foreign country,Denmark,2014,17.81
Foreign country,Denmark,2015,15.28
Foreign country,Denmark,2016,16.72
Foreign country,Denmark,2017,16.84
Foreign country,Denmark,2018,17.97
Foreign country,Denmark,2019,19.58
Foreign country,Denmark,2020,20.11
Foreign country,Denmark,2021,18.39
Foreign country,Denmark,2022,19.49
Foreign country,Estonia,2013,90.29
Foreign country,Estonia,2014,93.17
Foreign country,Estonia,2015,83.35
Foreign country,Estonia,2016,80.55
Foreign country,Estonia,2017,75.7
Foreign country,Estonia,2018,69.44
Foreign country,Estonia,2019,63.18
Foreign country,Estonia,2020,60.12
Foreign country,Estonia,2021,54.51
Foreign country,Estonia,2022,51.51
Foreign country,Greece,2013,69.28
Foreign country,Greece,2014,62.98
Foreign country,Greece,2015,48.71
Foreign country,Greece,2016,48.17
Foreign country,Greece,2017,49.14
Foreign country,Greece,2018,54.2
Foreign country,Greece,2019,58.87
Foreign country,Greece,2020,63.43
Foreign country,Greece,2021,60.86
Foreign country,Greece,2022,57.57
Foreign country,Spain,2013,45.19
Foreign country,Spain,2014,42.35
Foreign country,Spain,2015,38.47
Foreign country,Spain,2016,36.89
Foreign country,Spain,2017,35.57
Foreign country,Spain,2018,35.44
Foreign country,Spain,2019,35.09
Foreign country,Spain,2020,33.63
Foreign country,Spain,2021,34.33
Foreign country,Spain,2022,35.33
Foreign country,Finland,2013,8.44
Foreign country,Finland,2014,8.86
Foreign country,Finland,2015,8.94
Foreign country,Finland,2016,9.68
Foreign country,Finland,2017,10.08
Foreign country,Finland,2018,9.12
Foreign country,Finland,2019,9.1
Foreign country,Finland,2020,8.58
Foreign country,Finland,2021,7.61
Foreign country,Finland,2022,8.31
Foreign country,France,2013,21.1
Foreign country,France,2014,20.95
Foreign country,France,2015,21.16
Foreign country,France,2016,22.41
Foreign country,France,2017,23.08
Foreign country,France,2018,24.14
Foreign country,France,2019,24.43
Foreign country,France,2020,22.81
Foreign country,France,2021,25.79
Foreign country,France,2022,26.62
Foreign country,Croatia,2013,6.45
Foreign country,Croatia,2014,5.44
Foreign country,Croatia,2015,4.66
Foreign country,Croatia,2016,4.7
Foreign country,Croatia,2017,5.42
Foreign country,Croatia,2018,7.62
Foreign country,Croatia,2019,11.8
Foreign country,Croatia,2020,9.39
Foreign country,Croatia,2021,11.57
Foreign country,Croatia,2022,10.95
Foreign country,Hungary,2013,6.59
Foreign country,Hungary,2014,7.09
Foreign country,Hungary,2015,9.19
Foreign country,Hungary,2016,8.93
Foreign country,Hungary,2017,8.79
Foreign country,Hungary,2018,7.7
Foreign country,Hungary,2019,8.24
Foreign country,Hungary,2020,10.22
Foreign country,Hungary,2021,19.31
Foreign country,Hungary,2022,29.86
Foreign country,Ireland,2013,9.15
Foreign country,Ireland,2014,8.06
Foreign country,Ireland,2015,7.39
Foreign country,Ireland,2018,10.77
Foreign country,Ireland,2019,12.54
Foreign country,Ireland,2020,11.92
Foreign country,Ireland,2021,11.49
Foreign country,Ireland,2022,12.87
Foreign country,Iceland,2013,7.77
Foreign country,Iceland,2014,6.76
Foreign country,Iceland,2015,8.81
Foreign country,Iceland,2016,7.82
Foreign country,Iceland,2017,9.16
Foreign country,Iceland,2018,8.9
Foreign country,Iceland,2019,8.96
Foreign country,Iceland,2020,9.34
Foreign country,Iceland,2021,8.68
Foreign country,Iceland,2022,10.37
Foreign country,Italy,2013,37.44
Foreign country,Italy,2014,29.38
Foreign country,Italy,2015,29.28
Foreign country,Italy,2016,31.56
Foreign country,Italy,2017,33.52
Foreign country,Italy,2018,34.35
Foreign country,Italy,2019,34.02
Foreign country,Italy,2020,29.75
Foreign country,Italy,2021,29.42
Foreign country,Italy,2022,30.73
Foreign country,Liechtenstein,2013,138.44
Foreign country,Liechtenstein,2014,110.43
Foreign country,Liechtenstein,2015,112.4
Foreign country,Liechtenstein,2016,164.8
Foreign country,Liechtenstein,2017,161.33
Foreign country,Liechtenstein,2018,141.68
Foreign country,Liechtenstein,2019,93.8
Foreign country,Liechtenstein,2020,98.07
Foreign country,Liechtenstein,2022,134.83
Foreign country,Lithuania,2013,5.01
Foreign country,Lithuania,2014,5.4
Foreign country,Lithuania,2015,4.38
Foreign country,Lithuania,2016,3.84
Foreign country,Lithuania,2017,4.0
Foreign country,Lithuania,2018,4.45
Foreign country,Lithuania,2019,4.58
Foreign country,Lithuania,2020,3.65
Foreign country,Lithuania,2021,5.97
Foreign country,Lithuania,2022,5.92
Foreign country,Luxembourg,2013,84.54
Foreign country,Luxembourg,2014,84.59
Foreign country,Luxembourg,2015,91.66
Foreign country,Luxembourg,2016,94.23
Foreign country,Luxembourg,2017,83.46
Foreign country,Luxembourg,2018,81.56
Foreign country,Luxembourg,2019,71.51
Foreign country,Luxembourg,2020,65.0
Foreign country,Luxembourg,2021,70.42
Foreign country,Luxembourg,2022,85.06
Foreign country,Latvia,2013,3.36
Foreign country,Latvia,2014,4.35
Foreign country,Latvia,2015,5.34
Foreign country,Latvia,2016,7.21
Foreign country,Latvia,2017,4.82
Foreign country,Latvia,2018,4.34
Foreign country,Latvia,2019,3.39
Foreign country,Latvia,2020,2.36
Foreign country,Latvia,2021,3.06
Foreign country,Latvia,2022,4.21
Foreign country,Montenegro,2013,37.69
Foreign country,Montenegro,2014,60.17
Foreign country,Montenegro,2015,27.49
Foreign country,Montenegro,2016,45.64
Foreign country,Montenegro,2017,30.05
Foreign country,Montenegro,2018,27.96
Foreign country,Montenegro,2019,30.86
Foreign country,Montenegro,2020,21.23
Foreign country,Montenegro,2021,24.65
Foreign country,Montenegro,2022,23.31
Foreign country,North Macedonia,2016,14.63
Foreign country,North Macedonia,2017,6.41
Foreign country,Malta,2016,52.62
Foreign country,Malta,2017,54.1
Foreign country,Malta,2018,54.03
Foreign country,Malta,2019,79.02
Foreign country,Malta,2020,102.61
Foreign country,Malta,2021,60.26
Foreign country,Malta,2022,50.67
Foreign country,Netherlands,2013,14.36
Foreign country,Netherlands,2014,12.89
Foreign country,Netherlands,2015,11.2
Foreign country,Netherlands,2016,10.79
Foreign country,Netherlands,2017,12.04
Foreign country,Netherlands,2018,12.72
Foreign country,Netherlands,2019,13.28
Foreign country,Netherlands,2020,13.22
Foreign country,Netherlands,2021,13.04
Foreign country,Netherlands,2022,13.96
Foreign country,Norway,2013,23.99
Foreign country,Norway,2014,24.98
Foreign country,Norway,2015,26.34
Foreign country,Norway,2016,25.47
Foreign country,Norway,2017,25.26
Foreign country,Norway,2018,22.58
Foreign country,Norway,2019,19.95
Foreign country,Norway,2020,18.48
Foreign country,Norway,2021,16.69
Foreign country,Norway,2022,16.13
Foreign country,Poland,2013,1.37
Foreign country,Poland,2014,1.43
Foreign country,Poland,2015,1.37
Foreign country,Poland,2016,1.75
Foreign country,Poland,2017,2.22
Foreign country,Poland,2018,2.74
Foreign country,Poland,2019,3.45
Foreign country,Poland,2020,3.34
Foreign country,Poland,2021,4.6
Foreign country,Poland,2022,4.86
Foreign country,Portugal,2013,25.24
Foreign country,Portugal,2014,23.9
Foreign country,Portugal,2015,24.12
Foreign country,Portugal,2016,22.31
Foreign country,Portugal,2017,20.99
Foreign country,Portugal,2018,19.12
Foreign country,Portugal,2019,19.32
Foreign country,Portugal,2020,17.18
Foreign country,Portugal,2021,16.24
Foreign country,Portugal,2022,18.49
Foreign country,Romania,2013,0.97
Foreign country,Romania,2014,1.27
Foreign country,Romania,2015,1.35
Foreign country,Romania,2016,1.53
Foreign country,Romania,2017,1.46
Foreign country,Romania,2018,1.3
Foreign country,Romania,2019,1.21
Foreign country,Romania,2020,1.17
Foreign country,Romania,2021,1.17
Foreign country,Romania,2022,1.3
Foreign country,Serbia,2013,4.9
Foreign country,Serbia,2014,4.23
Foreign country,Serbia,2015,4.96
Foreign country,Serbia,2016,5.06
Foreign country,Serbia,2017,4.97
Foreign country,Serbia,2018,4.53
Foreign country,Serbia,2019,5.0
Foreign country,Serbia,2020,5.57
Foreign country,Serbia,2021,6.16
Foreign country,Serbia,2022,5.8
Foreign country,Sweden,2013,19.39
Foreign country,Sweden,2014,13.73
Foreign country,Sweden,2015,13.59
Foreign country,Sweden,2016,12.93
Foreign country,Sweden,2017,12.41
Foreign country,Sweden,2018,13.03
Foreign country,Sweden,2019,13.82
Foreign country,Sweden,2020,14.19
Foreign country,Sweden,2021,13.77
Foreign country,Sweden,2022,14.22
Foreign country,Slovenia,2013,7.04
Foreign country,Slovenia,2014,7.28
Foreign country,Slovenia,2015,6.35
Foreign country,Slovenia,2016,5.72
Foreign country,Slovenia,2018,9.14
Foreign country,Slovenia,2019,13.5
Foreign country,Slovenia,2020,19.85
Foreign country,Slovenia,2021,17.02
Foreign country,Slovenia,2022,19.17
Foreign country,Slovakia,2013,3.47
Foreign country,Slovakia,2014,3.27
Foreign country,Slovakia,2015,3.34
Foreign country,Slovakia,2016,3.89
Foreign country,Slovakia,2017,4.03
Foreign country,Slovakia,2018,3.84
Foreign country,Slovakia,2019,4.7
Foreign country,Slovakia,2020,4.01
Foreign country,Slovakia,2021,4.78
Foreign country,Slovakia,2022,7.49
Foreign country,Türkiye,2013,3.26
Foreign country,Türkiye,2014,3.84
Foreign country,Türkiye,2015,4.9
Foreign country,Türkiye,2016,5.64
Foreign country,Türkiye,2017,8.13
Foreign country,Türkiye,2018,10.61
Foreign country,Türkiye,2019,12.2
Foreign country,Türkiye,2020,12.39
Foreign country,Türkiye,2021,14.41
Foreign country,Türkiye,2022,17.75
Foreign country,England and Wales,2013,15.72
Foreign country,England and Wales,2014,15.9
Foreign country,England and Wales,2015,15.33
Foreign country,England and Wales,2016,14.51
Foreign country,England and Wales,2017,14.39
Foreign country,England and Wales,2018,14.01
Foreign country,Scotland (NUTS 2021),2013,5.04
Foreign country,Scotland (NUTS 2021),2014,5.4
Foreign country,Scotland (NUTS 2021),2015,5.51
Foreign country,Northern Ireland (UK) (NUTS 2021),2013,7.88
Foreign country,Northern Ireland (UK) (NUTS 2021),2014,7.24
Foreign country,Northern Ireland (UK) (NUTS 2021),2015,6.6
Foreign country,Northern Ireland (UK) (NUTS 2021),2016,10.65
Foreign country,Northern Ireland (UK) (NUTS 2021),2017,6.7
Foreign country,Northern Ireland (UK) (NUTS 2021),2018,7.52
Foreign country,Kosovo*,2016,5.08
Foreign country,Kosovo*,2017,6.45
Foreign country,Kosovo*,2018,4.56
Foreign country,Kosovo*,2019,5.62
Foreign country,Kosovo*,2020,5.72
Reporting country,Albania,2014,193.03
Reporting country,Albania,2015,203.71
Reporting country,Albania,2016,205.89
Reporting country,Albania,2017,193.74
Reporting country,Albania,2018,182.07
Reporting country,Albania,2019,172.3
Reporting country,Albania,2020,158.29
Reporting country,Albania,2021,171.11
Reporting country,Albania,2022,176.73
Reporting country,Austria,2013,53.11
Reporting country,Austria,2014,49.88
Reporting country,Austria,2015,46.21
Reporting country,Austria,2016,45.26
Reporting country,Austria,2017,45.83
Reporting country,Austria,2018,46.86
Reporting country,Austria,2019,48.29
Reporting country,Austria,2020,47.07
Reporting country,Austria,2021,47.91
Reporting country,Austria,2022,48.44
Reporting country,Belgium,2013,58.51
Reporting country,Belgium,2015,54.31
Reporting country,Belgium,2017,51.48
Reporting country,Belgium,2018,50.06
Reporting country,Belgium,2019,52.58
Reporting country,Belgium,2020,50.02
Reporting country,Belgium,2021,52.47
Reporting country,Belgium,2022,54.4
Reporting country,Bulgaria,2013,117.8
Reporting country,Bulgaria,2014,105.41
Reporting country,Bulgaria,2015,99.5
Reporting country,Bulgaria,2016,99.67
Reporting country,Bulgaria,2017,95.78
Reporting country,Bulgaria,2018,92.06
Reporting country,Bulgaria,2019,90.16
Reporting country,Bulgaria,2020,87.71
Reporting country,Bulgaria,2021,82.61
Reporting country,Bulgaria,2022,79.59
Reporting country,Switzerland,2013,22.33
Reporting country,Switzerland,2014,22.68
Reporting country,Switzerland,2015,24.08
Reporting country,Switzerland,2016,22.91
Reporting country,Switzerland,2017,23.15
Reporting country,Switzerland,2018,22.67
Reporting country,Switzerland,2019,24.46
Reporting country,Switzerland,2020,21.42
Reporting country,Switzerland,2021,21.72
Reporting country,Switzerland,2022,21.24
Reporting country,Cyprus,2013,28.53
Reporting country,Cyprus,2014,34.15
Reporting country,Cyprus,2015,39.31
Reporting country,Cyprus,2016,41.14
Reporting country,Cyprus,2017,51.59
Reporting country,Cyprus,2018,39.69
Reporting country,Cyprus,2019,44.18
Reporting country,Cyprus,2020,38.4
Reporting country,Cyprus,2021,42.19
Reporting country,Cyprus,2022,47.2
Reporting country,Czechia,2013,143.8
Reporting country,Czechia,2014,162.75
Reporting country,Czechia,2015,182.16
Reporting country,Czechia,2016,195.89
Reporting country,Czechia,2017,192.32
Reporting country,Czechia,2018,186.7
Reporting country,Czechia,2019,180.79
Reporting country,Czechia,2020,166.0
Reporting country,Czechia,2021,162.14
Reporting country,Czechia,2022,167.29
Reporting country,Denmark,2013,53.42
Reporting country,Denmark,2014,45.87
Reporting country,Denmark,2015,41.31
Reporting country,Denmark,2016,43.0
Reporting country,Denmark,2017,42.62
Reporting country,Denmark,2018,44.9
Reporting country,Denmark,2019,47.93
Reporting country,Denmark,2020,51.44
Reporting country,Denmark,2021,53.9
Reporting country,Denmark,2022,52.15
Reporting country,Estonia,2013,146.27
Reporting country,Estonia,2014,137.4
Reporting country,Estonia,2015,131.34
Reporting country,Estonia,2016,137.09
Reporting country,Estonia,2017,131.27
Reporting country,Estonia,2018,126.45
Reporting country,Estonia,2019,124.55
Reporting country,Estonia,2020,117.91
Reporting country,Estonia,2021,110.07
Reporting country,Estonia,2022,104.15
Reporting country,Greece,2013,46.08
Reporting country,Greece,2014,44.99
Reporting country,Greece,2015,39.8
Reporting country,Greece,2016,40.48
Reporting country,Greece,2017,43.83
Reporting country,Greece,2018,44.99
Reporting country,Greece,2019,42.68
Reporting country,Greece,2020,42.73
Reporting country,Greece,2021,42.43
Reporting country,Greece,2022,43.06
Reporting country,Spain,2013,97.69
Reporting country,Spain,2014,97.44
Reporting country,Spain,2015,94.18
Reporting country,Spain,2016,91.43
Reporting country,Spain,2017,90.84
Reporting country,Spain,2018,90.76
Reporting country,Spain,2019,89.58
Reporting country,Spain,2020,82.95
Reporting country,Spain,2021,81.91
Reporting country,Spain,2022,82.21
Reporting country,Finland,2013,52.28
Reporting country,Finland,2014,48.89
Reporting country,Finland,2015,48.36
Reporting country,Finland,2016,47.84
Reporting country,Finland,2017,45.92
Reporting country,Finland,2018,44.49
Reporting country,Finland,2019,44.27
Reporting country,Finland,2020,41.21
Reporting country,Finland,2021,43.19
Reporting country,Finland,2022,43.26
Reporting country,France,2013,81.15
Reporting country,France,2014,79.55
Reporting country,France,2015,79.09
Reporting country,France,2016,80.09
Reporting country,France,2017,80.17
Reporting country,France,2018,80.56
Reporting country,France,2019,80.87
Reporting country,France,2020,70.09
Reporting country,France,2021,76.86
Reporting country,France,2022,79.72
Reporting country,Croatia,2014,83.17
Reporting country,Croatia,2015,74.41
Reporting country,Croatia,2016,68.72
Reporting country,Croatia,2017,70.1
Reporting country,Croatia,2018,70.73
Reporting country,Croatia,2019,74.87
Reporting country,Croatia,2020,77.62
Reporting country,Croatia,2021,85.18
Reporting country,Croatia,2022,94.97
Reporting country,Hungary,2013,173.46
Reporting country,Hungary,2014,174.03
Reporting country,Hungary,2015,167.85
Reporting country,Hungary,2016,170.69
Reporting country,Hungary,2017,168.23
Reporting country,Hungary,2018,159.02
Reporting country,Hungary,2019,158.9
Reporting country,Hungary,2020,161.26
